X	A1: 1:100 cgeWT:pbs	X	A2: 1:9:100 cgreWT:elut:pbs	X	B1: 1:100 cgeWT:pbs	X	B2: 1:9:100 cgreWT:elut:pbs	X	C1: 1:100 cgeWT:pbs	X	C2: 1:9:100 cgreWT:elut:pbs	X	D1: 1:100 cgeWT:pbs	X	D2: 1:9:100 cgreWT:elut:pbs	X	E1: 10:100 cgreWT:pbs	X	E2: 1:100 cgreWT:elut	X	F1: 10:100 cgreWT:pbs	X	F2: 1:100 cgreWT:elut	X	G1: 10:100 cgreWT:pbs	X	G2: 1:100 cgreWT:elut	X	H1: 10:100 cgreWT:pbs	X	H2: 1:100 cgreWT:elut
20.1	8.17404446743368	20.1	10.3013320075133	20.1	14.6165282964653	20.1	10.5933834873252	20.1	10.2993090036158	20.1	5.80241020745444	20.1	13.6191321122249	20.1	6.17884131293786	20.1	27.1889081547711	20.1	1.72995356495974	20.1	20.7240888038499	20.1	10.1527952219404	20.1	25.050577879618	20.1	2.33161855108079	20.1	28.7420715236563	20.1	4.81310647744629
20.7192125984252	8.17404446743368	20.7192125984252	10.3013320075133	20.7192125984252	14.6165282964653	20.7192125984252	10.5933834873252	20.7192125984252	10.2993090036158	20.7192125984252	5.80241020745444	20.7192125984252	13.6191321122249	20.7192125984252	6.17884131293786	20.7192125984252	27.1889081547711	20.7192125984252	1.72995356495974	20.7192125984252	20.7240888038499	20.7192125984252	10.1527952219404	20.7192125984252	25.050577879618	20.7192125984252	2.33161855108079	20.7192125984252	28.7420715236563	20.7192125984252	4.81310647744629
21.3384251968504	-0.676459326091139	21.3384251968504	1.58877121353472	21.3384251968504	5.48440286356601	21.3384251968504	1.59433569886099	21.3384251968504	1.08509346304513	21.3384251968504	-2.82728468864519	21.3384251968504	2.48718908299377	21.3384251968504	-2.7072544226559	21.3384251968504	15.6772476351439	21.3384251968504	-7.62370820461941	21.3384251968504	11.3114290600526	21.3384251968504	-1.19625431743854	21.3384251968504	17.1946051687558	21.3384251968504	-6.00626974192163	21.3384251968504	18.6122390456186	21.3384251968504	-4.27479137658083
21.9576377952756	-9.14139096760641	21.9576377952756	-8.66418438054229	21.9576377952756	-4.08489649889301	21.9576377952756	-6.53133565386918	21.9576377952756	-8.77682726219809	21.9576377952756	-13.152595631703	21.9576377952756	-7.18446495907034	21.9576377952756	-11.9878112259276	21.9576377952756	3.65762188293267	21.9576377952756	-18.3850683939677	21.9576377952756	4.19962914987387	21.9576377952756	-16.1926819287546	21.9576377952756	4.98745133494721	21.9576377952756	-17.7767117988847	21.9576377952756	6.23517742001901	21.9576377952756	-17.9302231077939
22.5768503937008	-17.9761185093175	22.5768503937008	-16.7435774600811	22.5768503937008	-13.2193752377056	22.5768503937008	-14.1584231486328	22.5768503937008	-17.0168774542282	22.5768503937008	-22.8276882663747	22.5768503937008	-14.4580685850151	22.5768503937008	-19.7206124490626	22.5768503937008	-6.26765397002481	22.5768503937008	-31.3747664926496	22.5768503937008	-4.39817130515208	22.5768503937008	-31.6794336854839	22.5768503937008	-8.20491203825862	22.5768503937008	-31.5628336970597	22.5768503937008	-4.48497202530896	22.5768503937008	-33.1520148498579
23.196062992126	-27.2032934832444	23.196062992126	-25.697696156427	23.196062992126	-22.3562137693658	23.196062992126	-22.3120801382759	23.196062992126	-25.0990156173672	23.196062992126	-31.3115566672046	23.196062992126	-23.7315632782424	23.196062992126	-26.6868985226258	23.196062992126	-17.2601577337668	23.196062992126	-47.54019414631	23.196062992126	-17.9422308760074	23.196062992126	-47.2525758372909	23.196062992126	-19.9747750933912	23.196062992126	-46.6660813241616	23.196062992126	-15.7142696130596	23.196062992126	-47.7390593266311
23.8152755905512	-37.8965510834141	23.8152755905512	-38.1214235601389	23.8152755905512	-34.2953760687822	23.8152755905512	-33.0958918477333	23.8152755905512	-35.7275072120405	23.8152755905512	-40.4253921685889	23.8152755905512	-34.7222484196743	23.8152755905512	-36.9332176278875	23.8152755905512	-31.3242741895806	23.8152755905512	-60.5558324579932	23.8152755905512	-34.1307865205883	23.8152755905512	-57.9936892756172	23.8152755905512	-33.3516246423183	23.8152755905512	-56.3113734319832	23.8152755905512	-30.3599567593683	23.8152755905512	-58.0050063010756
24.4344881889764	-51.5011087985729	24.4344881889764	-51.8882966642341	24.4344881889764	-50.6001724089869	24.4344881889764	-45.9572250308852	24.4344881889764	-49.670522730188	24.4344881889764	-52.6930768831564	24.4344881889764	-47.3736003976499	24.4344881889764	-52.8079215496798	24.4344881889764	-47.6643240154083	24.4344881889764	-58.7227397373199	24.4344881889764	-51.1407095612081	24.4344881889764	-55.0783556665999	24.4344881889764	-50.2084485513159	24.4344881889764	-48.4255144041798	24.4344881889764	-46.8391407411344	24.4344881889764	-54.1230488940463
25.0537007874016	-58.2272719128719	25.0537007874016	-56.7899717936094	25.0537007874016	-61.1104700629241	25.0537007874016	-51.4019789128011	25.0537007874016	-60.9701305260034	25.0537007874016	-61.2049786059553	25.0537007874016	-58.9444880049271	25.0537007874016	-63.9360139767917	25.0537007874016	-56.88740447256	25.0537007874016	-42.7836376306193	25.0537007874016	-57.4759086323583	25.0537007874016	-40.8352876426666	25.0537007874016	-58.0554033333528	25.0537007874016	-28.7064912587437	25.0537007874016	-56.6300490442656	25.0537007874016	-36.3199988563652
25.6729133858268	-45.8411585854199	25.6729133858268	-43.5425970925747	25.6729133858268	-53.5039597921623	25.6729133858268	-40.7850048218272	25.6729133858268	-56.1705779218027	25.6729133858268	-53.7829482716165	25.6729133858268	-55.9137075696744	25.6729133858268	-57.1918875105868	25.6729133858268	-47.0148411789508	25.6729133858268	-27.6123585689474	25.6729133858268	-44.2036867164059	25.6729133858268	-25.8939978964637	25.6729133858268	-44.047002217131	25.6729133858268	-15.1474454440066	25.6729133858268	-48.4757617221463	25.6729133858268	-20.1960743118481
